ID	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen0_Mut0_ID14	-	-	-	0.3200	0.4800	0.6400	0.2800	0.1200	0.8000	0.9600	0.8000	0.0400	0.3200	0.5600	0.9200	0.2000	0.4400	0.2000	0.2800	0.1200	0.0400	0.0400	0.0400	0.4000	0.5600	0.5600	0.7600	0.8400	0.6800	0.7200	0.4000	0.1200	0.6000	0.6000	0.4000	0.6800	0.5600	0.0800	0.2000	0.1600
Gen0_Mut0_ID15	-	-	-	0.3600	0.0800	0.5600	0.2000	0.6800	0.4800	0.7600	0.3600	0.8400	0.4400	0.6000	0.1200	0.4000	0.7200	0.5600	0.0400	0.5200	0.9600	0.4800	0.2800	0.2400	0.5200	0.0800	0.9600	0.4000	0.9200	0.6800	0.5200	0.9200	0.5600	0.9200	0.2000	0.0800	0.4400	0.3600	0.1600	0.8000
Gen0_Mut0_ID16	-	-	-	0.6400	0.6400	0.6800	0.5600	0.8800	0.0800	0.1200	0.2000	0.9600	0.9600	0.4400	0.4400	0.9600	0.7600	0.1200	0.3200	0.4000	0.6400	0.3600	0.8400	0.8800	0.6800	0.1200	0.7200	0.3200	0.6000	0.7600	0.2000	0.0400	0.7200	0.6400	0.2400	0.6000	0.4000	0.8400	0.2400	0.7600
Gen0_Mut0_ID17	-	-	-	0.7600	0.2800	0.4800	0.6400	0.7600	0.3200	0.4800	0.5600	0.2000	0.7200	0.3200	0.8000	0.4800	0.3600	0.3600	0.9200	0.8000	0.6000	0.6000	0.7600	0.7600	0.8000	0.8800	0.1200	0.2800	0.4800	0.5200	0.4800	0.4800	0.2400	0.3600	0.5200	0.6400	0.2800	0.1600	0.3200	0.0800
Gen0_Mut0_ID18	-	-	-	0.2000	0.2000	0.4400	0.8000	0.8000	0.0400	0.6400	0.7600	0.7200	0.6800	0.8000	0.7600	0.7600	0.2800	0.6800	0.2400	0.7200	0.9200	0.0800	0.5600	0.8400	0.9200	0.8400	0.4400	0.8000	0.0800	0.0400	0.2400	0.3600	0.4000	0.1200	0.6800	0.2000	0.1600	0.5200	0.7600	0.5600
Gen0_Mut0_ID19	-	-	-	0.2800	0.6800	0.2800	0.9200	0.3600	0.1200	0.2000	0.0800	0.1600	0.3600	0.5200	0.6400	0.5600	0.6800	0.7200	0.8000	0.4400	0.6800	0.4000	0.6000	0.3200	0.3600	0.4000	0.3600	0.7600	0.2400	0.8800	0.8400	0.9600	0.2800	0.7200	0.0400	0.5600	0.7200	0.2800	0.3600	0.4400
Gen0_Mut0_ID20	-	-	-	0.5600	0.5600	0.3200	0.7200	0.6000	0.7200	0.5200	0.1600	0.6000	0.2800	0.0400	0.4000	0.8800	0.9600	0.7600	0.8800	0.0800	0.3200	0.1200	0.3600	0.9200	0.3200	0.2000	0.2400	0.8800	0.4400	0.1200	0.9600	0.5600	0.0400	0.8400	0.8000	0.8400	0.2400	0.9200	0.2800	0.6000
Gen0_Mut0_ID21	-	-	-	0.1600	0.2400	0.8000	0.6800	0.9200	0.4400	0.1600	0.6400	0.2400	0.7600	0.9600	0.1600	0.4400	0.4800	0.1600	0.1600	0.8400	0.7600	0.9200	0.5200	0.3600	0.4400	0.2400	0.1600	0.0400	0.3200	0.4400	0.1200	0.6800	0.3200	0.2400	0.4400	0.1200	0.6800	0.3200	0.1200	0.9600
Gen0_Mut0_ID22	-	-	-	0.8800	0.8400	0.0400	0.1200	0.4400	0.5600	0.4000	0.0400	0.8000	0.0800	0.0800	0.3600	0.6400	0.0400	0.9200	0.4800	0.8800	0.3600	0.8000	0.4400	0.9600	0.2800	0.4800	0.2800	0.5600	0.5200	0.4800	0.2800	0.6000	0.4800	0.6800	0.0800	0.9600	0.4800	0.2400	0.6800	0.4800
Gen0_Mut0_ID23	-	-	-	0.4000	0.9200	0.1600	0.8800	0.4000	0.3600	0.8800	0.4000	0.3200	0.2400	0.8800	0.0800	0.0800	0.0800	0.0400	0.7200	0.1600	0.8400	0.7600	0.8000	0.6800	0.4800	0.7200	0.4800	0.7200	0.0400	0.8400	0.6400	0.6400	0.9200	0.5600	0.7200	0.7200	0.1200	0.0400	0.9200	0.8400
